sim,mes,estado,ticket,vendas,faturamento
6,2,medio,13946.957640386905,2.30767824081439,32185.09067228087
6,3,baixo,6076.6483615585985,2.260134259331391,13734.041143868553
6,4,medio,17845.04141450104,2.4518333334115834,43753.06737618384
6,5,baixo,6450.528168299643,2.019368055620004,13025.990524941317
6,6,baixo,5629.514641528797,1.8998009259865578,10694.957128831295
6,7,baixo,5648.405736664061,4.328569444582591,24449.516482329076
6,8,baixo,7511.977230431215,2.260134259331391,16978.077093814925
6,9,medio,17476.29972440936,3.8471458334561146,67233.87366899171
6,10,medio,18508.209713153043,2.260134259331391,41831.038851587204
6,11,alto,41169.2791236627,2.572923611193225,105925.41031307609
6,12,baixo,6716.7196975751995,0.0,0.0
7,1,medio,8578.290599014816,0.817277777803861,7010.84627811858
7,2,baixo,5863.625872181476,2.30767824081439,13531.36183750949
7,3,alto,29312.43085402487,2.260134259331391,66250.02919746411
7,4,baixo,4818.293718326771,2.4518333334115834,11813.653148761221
7,5,alto,31113.92791092454,2.019368055620004,62830.472108184666
7,6,baixo,6537.208722595956,1.8998009259865578,12419.3951845552
7,7,baixo,4089.8195366673035,4.328569444582591,17703.06788027502
7,8,medio,15462.377708255593,2.260134259331391,34947.04958915046
7,9,medio,10599.043321120322,3.8471458334561146,40776.065351468904
7,10,medio,21490.961175904653,2.260134259331391,48572.45761962294
7,11,baixo,2805.8927655606926,2.572923611193225,7219.347746987363
7,12,alto,30063.427948355922,0.0,0.0
8,1,medio,18516.890704753736,0.817277777803861,15133.443287018103
8,2,medio,16407.521170284082,2.30767824081439,37863.27959036603
8,3,alto,26980.24814187392,2.260134259331391,60978.98315071135
8,4,medio,14061.877065674811,2.4518333334115834,34477.378919957366
8,5,medio,18082.093253316583,2.019368055620004,36514.4014944895
8,6,baixo,9882.761343270628,1.8998009259865578,18775.279151249695
8,7,baixo,2449.4198681961675,4.328569444582591,10602.483998427448
8,8,baixo,4297.291813909022,2.260134259331391,9712.456450960115
8,9,alto,42717.466337103724,3.8471458334561146,164340.3226345904
8,10,medio,17371.052456909732,2.260134259331391,39260.91077850442
8,11,baixo,4550.108766417076,2.572923611193225,11707.082278611775
8,12,baixo,4198.843820532844,0.0,0.0
9,1,medio,21952.95256321966,0.817277777803861,17941.66028710174
9,2,alto,46555.56660009669,2.30767824081439,107435.2680318283
9,3,baixo,6195.244858823497,2.260134259331391,14002.085150373652
9,4,baixo,3006.302059041637,2.4518333334115834,7370.9515986621645
9,5,alto,19762.869184669773,2.019368055620004,39908.506718919096
9,6,baixo,3096.4264038043493,1.8998009259865578,5882.59374919673
9,7,medio,17333.263570531235,4.328569444582591,75028.23506629805
9,8,medio,20308.370632755195,2.260134259331391,45899.64421828953
9,9,medio,20900.31630693076,3.8471458334561146,80406.56479812355
9,10,medio,12602.07809658517,2.260134259331391,28482.388444861866
9,11,medio,18415.05104601798,2.572923611193225,47380.51963762816
9,12,medio,21096.196947559714,0.0,0.0
10,1,medio,23660.817593621683,0.817277777803861,19337.460423937628
10,2,baixo,5532.845370906096,2.30767824081439,12768.02687223062
10,3,medio,15259.078639419147,2.260134259331391,34487.56639878304
10,4,medio,22957.974785223643,2.4518333334115834,56289.12784603397
10,5,baixo,7247.313402206327,2.019368055620004,14634.993173482188
10,6,baixo,7841.020879273407,1.8998009259865578,14896.378727123552
10,7,alto,24239.290102919593,4.328569444582591,104921.45049787096
10,8,alto,37399.197432611014,2.260134259331391,84527.20738894276
10,9,baixo,4211.674920349085,3.8471458334561146,16202.927621692597
10,10,alto,25885.81421723912,2.260134259331391,58505.41554306973
10,11,baixo,5215.61054822011,2.572923611193225,13419.367526303962
10,12,medio,24945.054448927247,0.0,0.0
11,1,medio,21578.558622308738,0.817277777803861,17635.67643905083
11,2,baixo,7993.620033654641,2.30767824081439,18446.703017002805
11,3,alto,35923.080317858025,2.260134259331391,81190.98452710411
11,4,alto,38571.30650244226,2.4518333334115834,94570.4149959229
11,5,baixo,3207.9831973205564,2.019368055620004,6478.098791634857
11,6,medio,14689.757803208751,1.8998009259865578,27907.61547705425
11,7,baixo,5570.723594022019,4.328569444582591,24113.263933299026
11,8,medio,19866.38140298704,2.260134259331391,44900.68921783503
11,9,alto,30043.14856774095,3.8471458334561146,115580.37383628763
11,10,baixo,7737.373006718762,2.260134259331391,17487.501809711004
11,11,alto,28982.950571959365,2.572923611193225,74570.91784864044
11,12,baixo,3644.026023262085,0.0,0.0
12,1,medio,22117.292866524218,0.817277777803861,18075.9719649901
12,2,baixo,6524.862723533408,2.30767824081439,15057.283731398964
12,3,alto,37112.80482012556,2.260134259331391,83879.92163384495
12,4,alto,22250.765455947803,2.4518333334115834,54555.16843881581
12,5,medio,24695.38810829282,2.019368055620004,49869.07786702464
12,6,medio,12040.496674738872,1.8998009259865578,22874.54673200698
12,7,baixo,7108.204574824658,4.328569444582591,30768.357128428204
12,8,medio,13531.971117896457,2.260134259331391,30584.071519840683
12,9,medio,16754.913013439942,3.8471458334561146,64458.593789575105
12,10,medio,17172.961005672216,2.260134259331391,38813.19750308183
12,11,baixo,4751.852614747196,2.572923611193225,12226.153789393324
12,12,baixo,6930.492142597713,0.0,0.0
13,1,medio,21079.529406319296,0.817277777803861,17227.830950347776
13,2,medio,21080.550675295723,2.30767824081439,48647.12809776503
13,3,baixo,8097.611174871085,2.260134259331391,18301.688435070853
13,4,alto,31987.53374214328,2.4518333334115834,78428.10148261466
13,5,alto,21195.741945654816,2.019368055620004,42802.00420022033
13,6,medio,14461.266834331665,1.8998009259865578,27473.528122801996
13,7,baixo,4286.543262733623,4.328569444582591,18554.600189950128
13,8,medio,12045.22099157877,2.260134259331391,27223.816624284806
13,9,medio,20491.566664008238,3.8471458334561146,78834.04531242751
13,10,medio,11072.131517610731,2.260134259331391,25024.50376677488
13,11,baixo,5075.850114254263,2.572923611193225,13059.774605842622
13,12,alto,24033.064714755223,0.0,0.0
14,1,medio,17157.370821957153,0.817277777803861,14022.337898325946
14,2,medio,21818.368941273337,2.30767824081439,50349.775255836976
14,3,baixo,8289.359394753368,2.260134259331391,18735.065155992612
14,4,medio,18872.049618129873,2.4518333334115834,46271.120323528165
14,5,baixo,6763.973505725649,2.019368055620004,13658.952026522427
14,6,alto,25032.555298832704,1.8998009259865578,47556.871736532084
14,7,baixo,7845.1174957261555,4.328569444582591,33958.13588116053
14,8,baixo,6185.182779696082,2.260134259331391,13979.343500617679
14,9,baixo,5654.169660164488,3.8471458334561146,21752.415249755784
14,10,baixo,4026.9869279389704,2.260134259331391,9101.531117714538
14,11,baixo,6096.276021633063,2.572923611193225,15685.252516410808
14,12,baixo,5304.58309328129,0.0,0.0
15,1,medio,19263.715214056854,0.817277777803861,15743.806362390815
15,2,baixo,9034.006970123424,2.30767824081439,20847.58131231936
15,3,medio,20903.64565013263,2.260134259331391,47245.04567878836
15,4,baixo,1871.890800485321,2.4518333334115834,4589.564261136402
15,5,baixo,5391.403429960814,2.019368055620004,10887.22786142299
15,6,medio,24858.651083235683,1.8998009259865578,47226.4883467079
15,7,medio,16928.176224204595,4.328569444582591,73274.78635660151
15,8,medio,15393.063040715388,2.260134259331391,34790.38913436868
15,9,alto,21987.907053469942,3.8471458334561146,84590.6850071772
15,10,baixo,6469.032056270805,2.260134259331391,14620.88097509064
15,11,medio,20832.733955461546,2.572923611193225,53601.033079713845
15,12,alto,31616.73031268119,0.0,0.0
16,1,medio,16660.16957523076,0.817277777803861,13615.986368280091
16,2,alto,22444.665987328175,2.30767824081439,51795.06732130406
16,3,baixo,6246.045070726353,2.260134259331391,14116.90044967659
16,4,alto,44156.56277893274,2.4518333334115834,108264.53251026852
16,5,medio,27475.021444930375,2.019368055620004,55482.18063336697
16,6,baixo,9730.41859405998,1.8998009259865578,18485.85825523197
16,7,medio,13820.474182242291,4.328569444582591,59822.882254896555
16,8,medio,24827.635880276306,2.260134259331391,56113.790431217756
16,9,alto,26717.855707792787,3.8471458334561146,102787.4872651167
16,10,medio,15176.457090253109,2.260134259331391,34300.830604953844
16,11,baixo,576.8977118724306,2.572923611193225,1484.3137441199228
16,12,baixo,6894.171079812072,0.0,0.0
17,1,medio,14613.715756606989,0.817277777803861,11943.46513901703
17,2,alto,26502.010050041885,2.30767824081439,61158.11193032594
17,3,medio,18528.93486139329,2.260134259331391,41877.88046915471
17,4,medio,18393.30934203666,2.4518333334115834,45097.328956556164
17,5,alto,33554.939013473966,2.019368055620004,67759.77195208674
